id,query,persona,primary_tag,year,notes
1,What are my 1 year results?,student,result,1,
2,Show my 1 year marks.,student,result,1,
3,Display marks for semester 3 of 1 year.,student,result,1,
4,I want my Data Structures marks for sem 4.,student,result,1,
5,Could you fetch my 1 year results for Operating Systems?,student,result,1,
6,My 1 year semester 6 grades please.,student,result,1,
7,How did I score in Mathematics in 7th sem?,student,result,1,
8,Result for Physics sem 8 of 1 year.,student,result,1,
9,"Marksheet for 1 year students, semester 1.",student,result,1,
10,"Get my grades for 1 year, Data Structures.",student,result,1,
11,What are my 1 year results?,student,result,1,
12,Show my 1 year marks.,student,result,1,
13,Display marks for semester 5 of 1 year.,student,result,1,
14,I want my Physics marks for sem 6.,student,result,1,
15,Could you fetch my 1 year results for Chemistry?,student,result,1,
16,My 1 year semester 8 grades please.,student,result,1,
17,How did I score in Operating Systems in 1th sem?,student,result,1,
18,Result for Economics sem 2 of 1 year.,student,result,1,
19,"Marksheet for 1 year students, semester 3.",student,result,1,
20,"Get my grades for 1 year, Physics.",student,result,1,
21,What are my 1 year results?,student,result,1,
22,Show my 1 year marks.,student,result,1,
23,Display marks for semester 7 of 1 year.,student,result,1,
24,I want my Economics marks for sem 8.,student,result,1,
25,Could you fetch my 1 year results for Mathematics?,student,result,1,
26,My 1 year semester 2 grades please.,student,result,1,
27,How did I score in Chemistry in 3th sem?,student,result,1,
28,Result for Data Structures sem 4 of 1 year.,student,result,1,
29,"Marksheet for 1 year students, semester 5.",student,result,1,
30,"Get my grades for 1 year, Economics.",student,result,1,
31,What are my 1 year results?,student,result,1,
32,Show my 1 year marks.,student,result,1,
33,Display marks for semester 1 of 1 year.,student,result,1,
34,I want my Data Structures marks for sem 2.,student,result,1,
35,Could you fetch my 1 year results for Operating Systems?,student,result,1,
36,My 1 year semester 4 grades please.,student,result,1,
37,How did I score in Mathematics in 5th sem?,student,result,1,
38,Result for Physics sem 6 of 1 year.,student,result,1,
39,"Marksheet for 1 year students, semester 7.",student,result,1,
40,"Get my grades for 1 year, Data Structures.",student,result,1,
41,What are my 1 year results?,student,result,1,
42,Show my 1 year marks.,student,result,1,
43,Display marks for semester 3 of 1 year.,student,result,1,
44,I want my Physics marks for sem 4.,student,result,1,
45,Could you fetch my 1 year results for Chemistry?,student,result,1,
46,My 1 year semester 6 grades please.,student,result,1,
47,How did I score in Operating Systems in 7th sem?,student,result,1,
48,Result for Economics sem 8 of 1 year.,student,result,1,
49,"Marksheet for 1 year students, semester 1.",student,result,1,
50,"Get my grades for 1 year, Physics.",student,result,1,
51,What are my 2 year results?,student,result,2,
52,Show my 2 year marks.,student,result,2,
53,Display marks for semester 3 of 2 year.,student,result,2,
54,I want my Data Structures marks for sem 4.,student,result,2,
55,Could you fetch my 2 year results for Operating Systems?,student,result,2,
56,My 2 year semester 6 grades please.,student,result,2,
57,How did I score in Mathematics in 7th sem?,student,result,2,
58,Result for Physics sem 8 of 2 year.,student,result,2,
59,"Marksheet for 2 year students, semester 1.",student,result,2,
60,"Get my grades for 2 year, Data Structures.",student,result,2,
61,What are my 2 year results?,student,result,2,
62,Show my 2 year marks.,student,result,2,
63,Display marks for semester 5 of 2 year.,student,result,2,
64,I want my Physics marks for sem 6.,student,result,2,
65,Could you fetch my 2 year results for Chemistry?,student,result,2,
66,My 2 year semester 8 grades please.,student,result,2,
67,How did I score in Operating Systems in 1th sem?,student,result,2,
68,Result for Economics sem 2 of 2 year.,student,result,2,
69,"Marksheet for 2 year students, semester 3.",student,result,2,
70,"Get my grades for 2 year, Physics.",student,result,2,
71,What are my 2 year results?,student,result,2,
72,Show my 2 year marks.,student,result,2,
73,Display marks for semester 7 of 2 year.,student,result,2,
74,I want my Economics marks for sem 8.,student,result,2,
75,Could you fetch my 2 year results for Mathematics?,student,result,2,
76,My 2 year semester 2 grades please.,student,result,2,
77,How did I score in Chemistry in 3th sem?,student,result,2,
78,Result for Data Structures sem 4 of 2 year.,student,result,2,
79,"Marksheet for 2 year students, semester 5.",student,result,2,
80,"Get my grades for 2 year, Economics.",student,result,2,
81,What are my 2 year results?,student,result,2,
82,Show my 2 year marks.,student,result,2,
83,Display marks for semester 1 of 2 year.,student,result,2,
84,I want my Data Structures marks for sem 2.,student,result,2,
85,Could you fetch my 2 year results for Operating Systems?,student,result,2,
86,My 2 year semester 4 grades please.,student,result,2,
87,How did I score in Mathematics in 5th sem?,student,result,2,
88,Result for Physics sem 6 of 2 year.,student,result,2,
89,"Marksheet for 2 year students, semester 7.",student,result,2,
90,"Get my grades for 2 year, Data Structures.",student,result,2,
91,What are my 2 year results?,student,result,2,
92,Show my 2 year marks.,student,result,2,
93,Display marks for semester 3 of 2 year.,student,result,2,
94,I want my Physics marks for sem 4.,student,result,2,
95,Could you fetch my 2 year results for Chemistry?,student,result,2,
96,My 2 year semester 6 grades please.,student,result,2,
97,How did I score in Operating Systems in 7th sem?,student,result,2,
98,Result for Economics sem 8 of 2 year.,student,result,2,
99,"Marksheet for 2 year students, semester 1.",student,result,2,
100,"Get my grades for 2 year, Physics.",student,result,2,
101,What are my 3 year results?,student,result,3,
102,Show my 3 year marks.,student,result,3,
103,Display marks for semester 3 of 3 year.,student,result,3,
104,I want my Data Structures marks for sem 4.,student,result,3,
105,Could you fetch my 3 year results for Operating Systems?,student,result,3,
106,My 3 year semester 6 grades please.,student,result,3,
107,How did I score in Mathematics in 7th sem?,student,result,3,
108,Result for Physics sem 8 of 3 year.,student,result,3,
109,"Marksheet for 3 year students, semester 1.",student,result,3,
110,"Get my grades for 3 year, Data Structures.",student,result,3,
111,What are my 3 year results?,student,result,3,
112,Show my 3 year marks.,student,result,3,
113,Display marks for semester 5 of 3 year.,student,result,3,
114,I want my Physics marks for sem 6.,student,result,3,
115,Could you fetch my 3 year results for Chemistry?,student,result,3,
116,My 3 year semester 8 grades please.,student,result,3,
117,How did I score in Operating Systems in 1th sem?,student,result,3,
118,Result for Economics sem 2 of 3 year.,student,result,3,
119,"Marksheet for 3 year students, semester 3.",student,result,3,
120,"Get my grades for 3 year, Physics.",student,result,3,
121,What are my 3 year results?,student,result,3,
122,Show my 3 year marks.,student,result,3,
123,Display marks for semester 7 of 3 year.,student,result,3,
124,I want my Economics marks for sem 8.,student,result,3,
125,Could you fetch my 3 year results for Mathematics?,student,result,3,
126,My 3 year semester 2 grades please.,student,result,3,
127,How did I score in Chemistry in 3th sem?,student,result,3,
128,Result for Data Structures sem 4 of 3 year.,student,result,3,
129,"Marksheet for 3 year students, semester 5.",student,result,3,
130,"Get my grades for 3 year, Economics.",student,result,3,
131,What are my 3 year results?,student,result,3,
132,Show my 3 year marks.,student,result,3,
133,Display marks for semester 1 of 3 year.,student,result,3,
134,I want my Data Structures marks for sem 2.,student,result,3,
135,Could you fetch my 3 year results for Operating Systems?,student,result,3,
136,My 3 year semester 4 grades please.,student,result,3,
137,How did I score in Mathematics in 5th sem?,student,result,3,
138,Result for Physics sem 6 of 3 year.,student,result,3,
139,"Marksheet for 3 year students, semester 7.",student,result,3,
140,"Get my grades for 3 year, Data Structures.",student,result,3,
141,What are my 3 year results?,student,result,3,
142,Show my 3 year marks.,student,result,3,
143,Display marks for semester 3 of 3 year.,student,result,3,
144,I want my Physics marks for sem 4.,student,result,3,
145,Could you fetch my 3 year results for Chemistry?,student,result,3,
146,My 3 year semester 6 grades please.,student,result,3,
147,How did I score in Operating Systems in 7th sem?,student,result,3,
148,Result for Economics sem 8 of 3 year.,student,result,3,
149,"Marksheet for 3 year students, semester 1.",student,result,3,
150,"Get my grades for 3 year, Physics.",student,result,3,
